,İsim,IMDb Puanı,Yıl,Ülke,Film Süresi,Türler,Yönetmen,Senarist,Oyuncular,Ödüller,Konu
0,The Shawshank Redemption - Esaretin Bedeli,9.3,1994,United States,142 dakika,Dram,Frank Darabont,"tephen King, Frank Darabont","Bob Gunton, Morgan Freeman, Tim Robbins",7 Oscar Adaylığı. 21 ödül & 43 adaylık. total,"Banka çalışanı olan Andy Dufresne, karısını ve sevgilisini öldürmekten suçlu bulundu ve ömür boyu hapis cezasına çarptırılarak Shawshank hapishanesine gönderildi. Andy'nin hayatı daha da kötüye gitmiş gibi görünüyor, ama neyse ki Andy diğer mahkûmlardan bazılarıyla özellikle de sadece Red olarak bilinen bir karakterle sıkı bir dostluk kuruyor. Andy zamanla, beden bir hücrede kilitliyken ruhun asla gerçekten hapsedilemeyeceğini anlar. Kült Filmlerden 1080p görüntü kalitesiyle Saklı Yüz izle yebilirsiniz."
1,The Godfather - Baba,9.2,1972,Amerika,175 dakika,"Drama, Suç",Francis Ford Coppola,"ario Puzo, Francis Ford Coppola, Mario Puzo ","Al Pacino, James Caan, Marlon Brando, Richard S. Castellano",3 Oscar Kazandı. Diğer 26 ödül & 30 adaylık.,"1945 New York'ta, II. Dünya Savaşı gazisi ve Corleone mafyası lideri Vito Corleone'nin oğlu Michael Corleone, sevgilisi Kay Adams ile mutlu bir hayat yaşamaya ve aile işlerinin dışında kalmaya karar verir. Ancak babasının sağlığı ve durumu yavaş yavaş kötüleşince, Michael bazı sorumluluklardan kaçınamayacağını ve Corleone mafyasının lideri olmasının kaderinin kaçınılmaz bir parçası olduğunu fark etmeye başlar. Kült Filmlerden 1080p görüntü kalitesiyle The Godfather izle yebilirsiniz."
2,Baba 2 - The Godfather II(The Godfather: Part II) ,9.0,1974,Amerika,202 dakika,"Dram, Drama, Suç",Francis Ford Coppola,"rancis Ford Coppola, Mario Puzo, Mario Puzo ","Al Pacino, Diane Keaton, Robert De Niro, Robert Duvall",6 Oscar Kazandı. Diğer 11 ödül & 20 adaylık.,"Vito Corleone Sicilya'da doğan bir çocuktan New York'un en saygın mafyalarından birine dönüşürken, oğlu Micheal kendi imparatorluğunu Las Vegas, Florida ve devrim öncesi Küba'ya kadar genişletmeye çalışır. Micheal'in Çökmekte olan evliliğini ve kardeşiyle bozulmakta olan ilişkisi nasıl bir hal alacak... Baba 2 - The Godfather 2 filmini kült filmlerden 1080p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz."
3,Dominion,9.0,2018,Australia,120 dakika,"Belgesel, Korku",Chris Delforce,hris Delforce,"Joaquin Phoenix, Rooney Mara, Sia",15 ödül,"Dominion, modern hayvan tarımının karanlık tarafını gün yüzüne çıkarmak için insansız hava araçları, gizli ve el kameraları kullanıyor ve insanlığın hayvanlar üzerindeki egemenliğinin ahlakını ve geçerliliğini sorguluyor. Kült Filmlerden 1080p görüntü kalitesiyle Dominion izle yebilirsiniz."
4,Pulp Fiction - Ucuz Roman,8.9,1994,Amerika,154 dakika,"Gerilim, Suç",Quentin Tarantino,"uentin Tarantino, Roger Avary, Quentin Tarantino","Amanda Plummer, John Travolta, Laura Lovelace, Tim Roth",1 Oscar Kazandı. Diğer 68 ödül & 74 adaylık.,"Quentin Tarantino'nun şöhretini katlayan bu efsane filmde yeraltı dünyasının gözünden, gangster camiasını bakıyoruz. Honey Bunny ve Pumpkin hayatlarına biraz hareket katmak isteyen genç ve birbirine aşık bir çift küçük soyguncudur. Öteyandan, iki kafadar gangster olan Vincent Vega ve Jules günlük işlerinden biri olarak patronlarına ödemeyi geciktiren bir kaç sahetekar genci vurmaya gidiyor. Vincent patronun güzel ve genç karısına bebek bakıcılığı yapmakla da görevlendirilirken ortağı suç yaşamına son vermeye karar veriyor. Kader tüm bu aykırı tipleri muhteşem bir şekilde bir araya getirerek yollarını kesiştiriyor. Kült Filmlerden 1080p görüntü kalitesiyle Inland Empire izle yebilirsiniz."
5,12 Angry Men - 12 Öfkeli Adam(12 Kızgın Adam) ,8.9,1957,Amerika,96 dakika,"Drama, Suç",Sidney Lumet,"eginald Rose, Reginald Rose ","E.G. Marshall, John Fiedler, Lee J. Cobb, Martin Balsam",3 Oscar Adaylığı. Diğer 16 ödül & 9 adaylık.,Porto Rikolu bir genç babasını öldürdüğü iddiasıyla yargılanıyor. Yargılayan jürinin 12 üyesinden 11'i çocuğun suçlu olduğunu koşulsuz şartsız kabul ediyor. Geri kalan jüri üyesi Juror eldeki kanıtlara şüpheci yaklaşıyor. Juror tek başına genç adamı ölümden kurtarabilecekmi? Kült Filmlerden 1080p görüntü kalitesiyle 12 Angry Men izle yebilirsiniz.
6,Schindler’s List - Schindler’in Listesi,8.9,1993,Amerika,195 dakika,"Biyografi, Drama, Tarih",Steven Spielberg,"homas Keneally, Steven Zaillian ","Ben Kingsley, Caroline Goodall, Liam Neeson, Ralph Fiennes",7 Oscar Kazandı. Diğer 83 ödül & 49 adaylık.,"Oskar Schindler, Hitler döneminde fabrikasını Yahudiler için sığınak haline getiren Alman bir iş adamıdır. Auschwitz toplama kampında ölümden kurtulmak için yaklaşık 1100 Yahudiyi kurtarmayı başaran Oskar Schindler'in gerçek hikayesinden uyarlanan bu unutulmaz filmi kült filmlerden 720p görüntü kalitesi ile altyazılı olarak izleyebilirsiniz."
7,Yüzüklerin Efendisi: Kralın Dönüşü(The Lord of the Rings: The Return of the King) ,8.9,2003,"Amerika, Yeni Zelanda",201 dakika,"Aksiyon, Dram, Macera",Peter Jackson,".R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson ","Ali Astin, David Aston, Noel Appleby, Sean Astin",11 Oscar Kazandı. Diğer 198 ödül & 123 adaylık.,"Orta Dünya için son zorlu savaş başlıyor. Gollum liderliğindeki Frodo ve Sam, Yüzüğü Hüküm Dağı'nın volkanik ateşinde yok etmek için tehlikeli görevlerine devam ediyor. Bu arada, Aragorn bir yandan lider olarak kötü talihi ile baş ederken diğer yandan Yüzük Taşıyıcısı'nın görevini tamamlayabilmesi için sadık ve cesur askerlerini ve dostlarını Karanlık Lordu Sauron'un karanlık güçlerine karşı başarıyla yönetmeye çalışır.
Bu eşsiz başyapıt serisinin üçüncü filmi olan The Lord of the Rings: The Return of the King i kült filmlerden 1080p görüntü kalitesiyle türkçe altyazılı olarak izleyebilirsiniz..."
8,Inception - Başlangıç,8.8,2010,"Amerika, İngiltere",148 dakika,"Aksiyon, Bilim Kurgu, Macera",Christopher Nolan,hristopher Nolan,"Elliot Page, Joseph Gordon-Levitt, Leonardo DiCaprio, Tom Hardy",4 Oscar Kazandı. Diğer 152 ödül & 218 adaylık.,"Oldukça becerikli bir hırsız olan Dom Cobb rolünü canlandıran Leonardo DiCaprio’nun başrol aldığı bu film yayınlandıktan kısa bir süre sonra son 25 yılın en başarılı filmleri arasında gösterilmiştir. Zihin hırsızlığı yapan Dom Cobb’un uzmanlık alanı bilinçaltı sırlarına erişmektir. Bu becerisi ile kurumsal ajanlığın tekin olmayan sularına iteklemiştir. Aynı zamanda uluslararası dünyada da tanınmaya başlamış, yaptığı bir kaçakçılık ile çevresinde değer verdiği her şeye zarar vermiştir. Bulunduğu durumdan kurtulması için bir şansı vardır; başlangıcı tamamlamak! Kült filmlerden 1080p görüntü kalitesiyle Inception izle yebilirsiniz."
9,Kill Bill: The Whole Bloody Affair,8.8,2011,United States,247 dakika,"Aksiyon, Gerilim, Suç",Quentin Tarantino,"uentin Tarantino, Uma Thurman","Lucy Liu, Uma Thurman, Vivica A. Fox",Bulunan ödül yok.,"Gelin, düğün provasında kendisine ihanet eden, başından vuran ve doğmamış kızını elinden alan eski patronu ve sevgilisi Bill'i öldürmeli. Ama önce, Ölümcül Engerek Suikastı Timinin diğer dört üyesine acı çektirmelidir."
